SSDSE-B-2023,Code,Prefecture,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A4101,A410101,A410102,A4103,A4200,A420001,A420002,A5101,A510101,A510102,A5102,A510201,A510202,A9101,A9201,B4101,B4102,B4103,B4106,B4109,C3301,C3302,C3801,C3802,C5401,C5403,E1101,E1301,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E3701,E3702,E4101,E4401,E4501,E4601,E4602,E6101,E6102,E6201,E6202,E6301,E6302,E6501,E650110,E6502,E650210,E7101,E7102,E7201,E7202,F3101,F3102,F3103,F3104,F3105,G5105,G7101,G7102,H1800,H1801,H1802,H1803,H2600,H2601,H2602,H2603,H5609,H5610,H5614,I510120,I5102,I5103,J2503,J2505,J250502,J2506,J2526,L3221,L322101,L322102,L322103,L322104,L322105,L322106,L322107,L322108,L322109,L322110
2014,R03000,ä‚éËåß,1290000,620000,670000,1285000,618000,667000,156000,80000,76000,749000,378000,370000,380000,156000,224000,8803,4536,4267,1.44,16274,8266,8008,17845,10244,7601,21045,11568,9477,5482,1855,10.6,28.8,-5.8,133,1280,8188,1610262,859,21594,24300,46400,141,956,11709,347,5093,64512,172,3235,36137,12083,11937,81,3091,35879,11705,4991,5,5,100,1365,1164,11610,550,77,2467,400,34,8,5547,479,62898,225517,221324,25165,26738,16443,4769050,73220,9006,4433,3847,643,860473,562547,66024,224906,449548.0,945,17.4,76,902,594,350,26018,193,26681,4229,273964,68915,22237,28701,9363,11393,11924,37866,7110,23066,53390
2013,R03000,ä‚éËåß,1299000,623000,676000,1294000,621000,672000,159000,82000,77000,764000,385000,378000,372000,152000,220000,9231,4766,4465,1.46,15969,8185,7784,18529,10675,7854,20960,11335,9625,5398,2003,10.6,29.4,-7.1,133,1643,9370,1949583,910,21752,24500,46400,142,974,11962,362,5221,66328,178,3290,36764,12530,12348,81,3099,36252,11892,5034,5,5,105,1351,1173,11680,508,79,2482,405,33,8,5904,487,67848,247765,232325,27196,28950,16733,4685240,61330,9870,5176,3926,689,982420,674537,68998,235216,452666.0,945,18.5,77,923,602,348,25544,168,26214,4090,276415,65103,13991,28262,8664,9829,12342,44567,7771,25646,60240
2012,R03000,ä‚éËåß,1306000,625000,680000,1302000,624000,677000,162000,83000,79000,777000,392000,386000,364000,148000,216000,9276,4776,4500,1.44,16072,8269,7803,19306,11201,8105,21691,11892,9799,5629,1975,10.8,32.0,-7.2,111,1029.5,8691,1694783,923,21260,25300,49800,142,965,12287,372,5303,68004,189,3346,37079,12377,12238,81,3109,37533,12581,5088,5,5,100,1353,1153,11600,534,89,2347,332,33,8,5900,501,73936,275175,228714,31510,32925,20756,4927140,42790,8121,4522,2978,539,807571,587995,55565,160338,455076.0,943,18.7,77,918,590,354,26121,135,27256,4147,275001,67891,19574,26990,9875,10115,13264,32743,5851,24827,63872
2011,R03000,ä‚éËåß,1315000,628000,686000,1310000,627000,683000,165000,85000,81000,791000,398000,393000,358000,145000,213000,9310,4696,4614,1.41,22335,11217,11118,18756,10541,8215,22199,11917,10282,5344,2038,10.5,29.5,-7.3,125,1229,6781,1275929,934,21564,26700,53000,145,951,12066,378,5358,70055,189,3326,37709,12714,12556,82,3159,38374,12382,5076,5,5,100,1344,1170,11519,523,73,2275,346,34,8,5945,501,88930,347841,194076,33577,35118,16759,4894550,32140,5178,3405,1333,416,554818,438149,42666,72582,449111.0,926,18.7,77,902,580,321,23913,83,24963,3880,279059,70157,14292,27116,10043,10099,11606,31660,9185,25775,69126
2010,R03000,ä‚éËåß,1330147,634971,695176,1322417,632252,690165,168804,86612,82192,795780,399160,396620,360498,146040,214458,9745,4939,4806,1.46,15756,8188,7568,17893,10188,7705,22131,11868,10263,5724,2327,11.0,31.4,-5.2,145,1634,6062,1174121,969,21940,27300,56300,147,966,12616,394,5399,71949,193,3276,38010,12885,12708,82,3179,39350,12750,5244,5,5,101,1356,1236,11938,596,73,2544,410,35,8,5927,493,82681,328763,125686,25867,27244,19455,4262240,83440,5228,3278,1567,357,552543,430709,36591,83500,446281.0,911,18.7,80,918,611,339,25115,53,25819,3908,283340,66158,24066,24107,9102,10553,11841,34753,12082,27813,62864
2009,R03000,ä‚éËåß,1340000,640000,700000,1335000,638000,697000,169000,86000,82000,813000,407000,405000,359000,145000,214000,9904,5090,4814,1.37,15410,8153,7257,18642,10758,7884,24185,13521,10664,5900,2429,10.6,27.1,-4.5,130,1274.5,5921,1014750,990,22098,28800,60900,149,986,13123,412,5504,73284,195,3316,39391,13748,13508,87,3215,40097,13227,5295,5,5,112,1341,1323,11681,620,75,2425,439,36,8,5458,511,89139,368775,106775,27078,28863,17011,4158090,64640,4903,3086,1536,195,514941,407953,21230,79575,455216.0,922,18.9,81,927,609,336,24987,95,26272,3839,287931,67219,14628,23591,8808,12095,13259,41182,8812,28980,69358
2020,R04000,ã{èÈåß,2301996,1122598,1179398,2242701,1093015,1149686,268428,137639,130789,1346845,679510,667335,638984,278918,360066,14480,7400,7080,1.20,24632,12454,12178,44078,25324,18754,44242,25266,18976,8921,3553,13.7,30.9,0.5,99,1247,10612,2182376,724,34835,42000,256800,232,2327,25704,381,7881,114086,207,4875,58381,19041,18224,95,4536,57157,18805,9732,5,14,174,5113,2613,49410,1070,14,10891,1552,70,22,16763,1621,64413,282143,351578,16457,16065,13445,5678790,121820,14661,4679,5819,4112,1223623,564646,402040,252303,814327.0,977,15.8,109,1686,1052,492,40995,340,39497,6309,264817,76291,24121,22717,9804,8369,12655,31760,6955,22245,49899
2019,R04000,ã{èÈåß,2312000,1128000,1184000,2290000,1118000,1172000,272000,139000,132000,1382000,702000,680000,652000,286000,367000,14947,7745,7202,1.23,25202,12769,12433,44379,25499,18880,47462,27296,20166,10073,3780,13.6,30.0,-0.9,97,1389.5,12033,2361249,757,34768,40300,240100,238,2357,27006,383,7913,115630,207,4851,58332,19756,18972,94,4562,58803,19203,9584,5,14,169,5012,2537,49121,997,12,10819,1510,65,23,16063,1884,67927,274060,439819,20438,20159,52670,9228850,534250,16427,5062,6975,4320,1364710,623390,432945,302252,830607.0,990,15.9,112,1671,1061,481,40320,583,38790,6205,276204,77920,17579,23460,10631,11222,12791,33403,10218,27726,51256
2018,R04000,ã{èÈåß,2320000,1132000,1187000,2301000,1124000,1177000,276000,142000,135000,1396000,709000,687000,643000,281000,362000,16211,8251,7960,1.30,24520,12496,12024,45658,26112,19546,47358,27194,20164,10328,3645,13.6,29.7,-2.2,106,1082,13391,2770189,763,34389,38600,216300,242,2369,28536,385,7937,116636,209,4909,59344,20573,19831,94,4553,59942,19472,9646,5,14,162,5004,2467,48623,1039,12,10839,1549,64,23,15628,2007,71352,281746,480487,22722,22376,51278,8647770,364110,19694,5786,9304,4577,1567782,719576,451535,394644,825806.0,982,16.1,113,1673,1066,468,38493,613,35646,6253,274585,72541,18572,23182,9317,10860,12592,35107,12760,26617,53037
2017,R04000,ã{èÈåß,2326000,1136000,1190000,2309000,1128000,1180000,280000,144000,137000,1412000,717000,695000,631000,275000,357000,16648,8593,8055,1.31,23876,12230,11646,46064,26544,19520,47326,27144,20182,10646,3734,12.9,29.3,-0.7,101,1320.5,14338,2968930,785,34230,37000,194900,247,2334,29769,395,7916,117402,211,4928,61189,20818,20224,95,4559,60764,19712,9715,4,14,146,4970,2362,48163,964,11,10755,1558,65,23,15648,1950,75721,298893,482818,24328,24059,48853,8669250,251610,21173,6307,9647,5109,1747441,794751,501374,444290,840570.0,996,16,114,1659,1064,429,36238,790,35765,5925,280273,71418,20481,20680,11232,9724,15059,31686,11490,27897,60606
2016,R04000,ã{èÈåß,2332000,1139000,1192000,2315000,1132000,1184000,285000,146000,139000,1429000,725000,703000,616000,267000,349000,17347,8903,8444,1.34,23426,11948,11478,47124,27464,19660,47607,27366,20241,11127,3783,13.5,29.9,-0.8,90,1209,16320,3108281,806,34249,35800,176400,254,2382,30646,399,7888,118204,213,4985,62855,21395,20772,95,4556,61345,19806,9749,4,14,142,4942,2384,48006,1017,9,10888,1591,64,22,15854,1637,82661,320017,457000,26665,26524,45782,8451560,175480,21295,7467,9895,3779,1864588,961700,390338,501403,836852.0,988,15.8,113,1662,1069,400,34154,638,33872,5567,281024,74103,18144,21904,11118,11467,14306,36451,9409,29024,55098
2015,R04000,ã{èÈåß,2333899,1140167,1193732,2291508,1119800,1171708,286003,146491,139512,1410322,711994,698328,588240,254066,334174,17999,9312,8687,1.36,23070,11840,11230,48315,28223,20092,48391,27930,20461,11317,3987,13.7,29.0,-0.3,100,1444.5,16765,3377397,815,34118,34000,162000,262,2351,30704,404,7928,119806,213,4954,63782,21544,21026,95,4595,61366,19587,9687,4,14,140,4803,2269,47879,825,3,10562,1581,65,21,16339,1631,89046,349698,442610,28932,28804,41685,8834660,161250,23921,7780,11593,4453,2108384,1000348,448341,649692,851108.0,1000,16.6,115,1646,1059,370,31789,926,32166,5222,267661,70741,17885,23940,8924,10797,12874,37132,9152,23203,53012
2014,R04000,ã{èÈåß,2335000,1140000,1195000,2322000,1134000,1188000,297000,152000,145000,1458000,736000,722000,573000,246000,327000,18069,9385,8684,1.30,22854,11752,11102,48951,28517,20434,46514,26987,19527,11765,3824,12.8,28.6,-2.1,107,1416.5,16441,3654612,816,33710,32800,153200,280,2516,33017,409,7957,121076,215,4930,64499,21570,21049,98,4573,61583,19825,9668,4,14,132,4791,1955,48335,697,6,11031,1565,65,22,16941,1712,94822,368142,437644,31901,31781,43425,8401590,102550,24476,7438,12356,4271,2139262,966829,428217,723776,856499.0,1008,16.4,115,1626,1054,347,29290,978,30519,5139,287881,71623,19657,25403,9762,12595,12309,39184,9542,27761,60045
2013,R04000,ã{èÈåß,2333000,1138000,1196000,2322000,1133000,1189000,299000,153000,146000,1476000,744000,732000,553000,236000,317000,18949,9692,9257,1.34,22214,11396,10818,51326,30207,21119,46670,26912,19758,11985,4162,12.7,30.0,-2.7,99,1111.5,18905,4259403,831,33600,31900,146600,282,2507,33272,419,7984,122447,216,4921,64862,21852,21312,100,4609,61572,19657,9496,4,14,118,4747,1514,49059,492,4,11218,1643,65,22,17619,1794,99498,394305,459911,34640,34257,47404,8486910,78400,25746,9673,12516,3499,2342211,1262743,364097,709663,865164.0,1018,16.8,115,1627,1052,337,28489,966,29461,5125,289429,70398,14172,24065,9760,12456,12428,42416,10057,27816,65863
2012,R04000,ã{èÈåß,2329000,1134000,1195000,2319000,1130000,1189000,301000,154000,147000,1491000,750000,740000,534000,226000,307000,18707,9527,9180,1.30,22101,11475,10626,53183,31501,21682,47114,26951,20163,12315,3957,12.6,30.8,-3.1,104,1179.5,18612,3845549,849,31429,31600,175300,290,2421,33070,438,8117,123975,220,4921,64906,21605,21092,100,4628,62424,20254,9709,4,14,90,4615,1165,49395,521,1,11053,1606,66,23,17681,1665,101808,437552,461514,37903,37778,57878,8325300,74590,21177,9575,7527,3875,2090381,1271415,393009,407284,866438.0,1021,16.9,115,1616,1044,332,27769,857,29200,4903,295433,69929,14779,23889,13189,14081,11215,41211,14240,30295,62605
2011,R04000,ã{èÈåß,2326000,1130000,1196000,2314000,1125000,1189000,303000,156000,148000,1503000,755000,748000,520000,219000,301000,18062,9196,8866,1.25,33975,16986,16989,47662,27493,20169,54064,29713,24351,11409,3826,12.9,29.0,-2.5,89,1214,13688,2775608,860,31472,32800,185400,296,2377,31142,449,8179,125638,224,4918,65063,21834,21369,101,4628,62555,19779,9155,5,14,90,4619,1205,50206,536,8,11210,1635,63,22,18171,1456,131783,588606,376998,38574,38989,44413,8178280,47860,14303,7553,3965,2599,1486277,999624,267759,209043,887253.0,1047,16.6,114,1571,1034,224,19700,841,21034,3611,247346,62067,19383,21500,11240,9879,9297,30866,7067,22240,53808
2010,R04000,ã{èÈåß,2348165,1139566,1208599,2325744,1128713,1197031,308201,158024,150177,1501638,750516,751122,520794,219576,301218,19126,9810,9316,1.30,21932,11577,10355,47358,27045,20313,47914,27139,20775,11972,4667,13.2,31.4,-1.4,105,1444,10904,2201437,243,17623,32300,197100,301,2385,32024,455,8255,128901,224,4860,65480,21943,21381,102,4667,63447,20539,9347,5,14,88,4541,1258,50168,588,16,11022,1663,62,24,18736,1670,123451,532579,211933,28911,28815,49057,7239450,159490,12622,5599,4574,2336,1223547,735827,238052,239933,817368.0,967,17.1,119,1589,1060,320,26201,948,27162,4552,287507,67004,12606,23276,10023,11678,12633,33646,14567,34022,68051
2009,R04000,ã{èÈåß,2348000,1139000,1208000,2336000,1135000,1201000,314000,161000,153000,1506000,754000,752000,515000,217000,298000,18988,9769,9219,1.25,20808,11040,9768,49058,28320,20738,50985,29251,21734,12217,4522,12.9,26.5,-0.7,97,1303.5,9671,1833607,912,32118,33400,217200,311,2433,32910,456,8231,129708,226,4900,66506,22732,22160,107,4747,64048,21094,10066,5,14,94,4460,1305,49627,571,15,10901,1729,64,24,18733,1574,130848,573630,186340,30452,30053,45632,6605510,115100,11199,4742,4592,1806,1056782,623709,184895,243390,838454.0,983,17.7,119,1578,1046,324,26123,1131,27086,4460,288513,70060,18515,22469,10533,13941,13403,31549,11837,31353,64852
2020,R05000,èHìcåß,959502,452439,507063,950192,447998,502194,92673,47427,45246,500687,251922,248765,357568,147988,209580,4499,2293,2206,1.24,15379,7619,7760,10519,6065,4454,13519,7292,6227,2686,1213,12.8,30.3,-0.8,192,2022.5,4796,764375,523,15151,13200,24500,36,401,2258,191,3193,40192,112,2185,22182,7379,7180,54,2047,22266,7392,3553,4,7,60,1003,563,8884,285,9,1991,306,19,2,1467,8,32595,129447,161245,10586,10897,2823,2003950,20010,3886,2509,833,470,393992,299573,46620,43852,350545.0,987,14.9,50,805,426,272,25515,22,22621,2623,264922,72763,14661,25743,11547,6791,11625,38578,4394,22769,56050
2019,R05000,èHìcåß,972000,458000,514000,968000,457000,512000,95000,48000,46000,512000,257000,255000,359000,149000,211000,4696,2403,2293,1.33,15784,7629,8155,10570,6115,4455,14764,7911,6853,3161,1278,12.9,30.5,-1.8,151,1566.5,5140,775613,545,15729,13300,24800,39,392,2516,195,3248,41381,114,2225,22634,7760,7576,54,2086,23102,7814,3511,4,7,57,1023,579,8940,281,23,2006,315,19,2,1454,13,35124,127375,172966,13057,13556,13020,3074660,119320,4250,2705,1005,518,432013,329011,52063,49434,359010.0,994,15.2,52,802,436,277,27066,65,24532,2973,261579,69080,11716,26180,8617,8500,11282,40526,9193,23380,53105
2018,R05000,èHìcåß,985000,464000,522000,982000,463000,519000,98000,50000,48000,526000,264000,262000,357000,147000,210000,5040,2545,2495,1.33,15434,7519,7915,10569,6193,4376,15111,8053,7058,3052,1246,12.3,29.2,-4.0,168,2016.5,5358,849138,547,15734,13400,25100,40,371,2696,199,3288,42670,115,2252,23034,7856,7675,54,2109,23947,7939,3603,4,7,59,1034,633,8947,334,12,1984,327,22,4,1501,103,36771,131002,185674,14325,14967,12235,2981160,112160,4487,2779,1061,629,462056,343128,61957,55069,361443.0,989,15.9,53,814,444,275,25669,37,23472,2907,280058,71840,11849,26191,9798,8766,10324,48688,7820,24527,60254
2017,R05000,èHìcåß,999000,470000,529000,995000,469000,527000,101000,51000,49000,541000,271000,270000,354000,146000,209000,5396,2730,2666,1.35,15425,7513,7912,10947,6417,4530,15266,8124,7142,3311,1366,11.9,29.1,-2.0,192,1935,5044,761815,565,15951,13500,25500,41,381,2936,202,3373,43795,117,2273,23894,8171,8038,55,2165,24818,8313,3769,4,7,61,1035,685,8897,331,13,2021,339,24,4,1578,146,38605,138191,172879,14866,15517,11616,2854880,95130,3961,2524,1018,386,409374,313140,38686,54176,364954.0,984,15.5,53,804,442,271,25447,41,23234,3116,260696,69879,16429,26604,9720,8370,11972,36457,6325,22117,52823
2016,R05000,èHìcåß,1011000,475000,536000,1008000,474000,534000,104000,53000,51000,555000,278000,278000,351000,144000,207000,5666,2841,2825,1.39,15244,7418,7826,11353,6548,4805,15751,8444,7307,3510,1393,12.5,31.4,-1.7,171,1795.5,5144,822979,577,16072,13800,26100,41,384,3065,202,3391,44909,117,2291,24714,8570,8424,55,2199,25530,8524,3858,4,7,60,1048,733,8986,382,16,2061,317,24,4,1597,166,41560,149963,155278,16014,16624,11341,2833660,62360,4205,2672,1126,393,439131,333439,39275,63691,370216.0,984,15.7,53,809,445,272,25821,33,23810,3300,255168,65222,13734,24558,9318,7894,13740,35342,8317,21275,55768
2015,R05000,èHìcåß,1023119,480336,542783,1017149,478034,539115,106041,54137,51904,565237,281593,283644,343301,139825,203476,5861,3044,2817,1.35,14794,7376,7418,11710,6776,4934,16202,8680,7522,3613,1534,12.7,29.0,-1.3,142,1490.5,5177,855484,590,16208,14200,26900,47,387,3481,213,3473,45882,119,2319,25486,8695,8555,57,2246,26299,8695,3876,5,7,62,1046,740,8907,338,8,1916,296,25,4,1630,174,46169,165433,151469,17302,18106,9861,2724680,49810,3809,2527,946,317,403402,319350,32713,49334,380228.0,994,16.2,54,814,442,261,24901,37,23720,3127,249778,64037,13263,25611,9767,9027,10203,33429,4674,22757,57010
2014,R05000,èHìcåß,1037000,487000,550000,1034000,486000,548000,112000,57000,55000,587000,293000,294000,339000,137000,202000,5998,3098,2900,1.34,15096,7535,7561,11626,6635,4991,16049,8670,7379,3842,1444,12.0,28.7,-2.9,177,1737.5,5147,856050,600,16266,14700,28100,90,710,7153,224,3581,46982,123,2329,26437,9101,8949,57,2281,26926,8899,3952,5,7,61,1054,801,8771,433,23,1862,302,25,4,1685,174,49657,179447,141530,18601,19617,10693,2718710,33810,3951,2515,1108,317,426806,330503,32116,62488,386032.0,1000,16.2,56,822,444,246,22828,53,22501,3480,266560,63825,12323,28320,10260,9980,10832,41837,6056,24787,58340
2013,R05000,èHìcåß,1050000,493000,557000,1047000,492000,555000,115000,58000,56000,604000,301000,303000,331000,133000,199000,6177,3118,3059,1.35,14824,7414,7410,11943,6855,5088,16538,9017,7521,3865,1485,11.9,29.3,-3.4,187,2373,6386,1051704,611,16543,15300,29500,93,737,7375,228,3657,48249,123,2323,27154,9303,9162,58,2345,27662,9089,4039,5,7,60,1029,1018,8694,551,39,1964,282,25,5,1700,195,54699,203866,128268,19344,20299,12669,2834630,31530,4366,3193,824,316,516563,433859,33470,46626,392034.0,1002,16.9,57,824,447,251,23193,38,23093,3590,272864,64728,13404,27443,8693,9347,12789,36312,9688,25269,65192
2012,R05000,èHìcåß,1063000,499000,564000,1060000,498000,562000,118000,60000,58000,619000,308000,311000,326000,130000,196000,6543,3281,3262,1.37,14856,7485,7371,12503,7172,5331,16077,8858,7219,4020,1495,12.1,31.3,-3.8,173,1742.5,5572,886537,615,16741,16100,31600,93,761,7790,237,3727,49468,125,2370,28084,9583,9432,59,2382,28724,9776,4200,5,6,90,994,1154,8527,544,46,1847,230,25,5,1700,149,59610,228030,121981,19433,20602,16378,2837750,23930,3761,2673,709,319,431333,357709,33033,36585,395654.0,999,17.7,58,821,449,250,22820,22,23317,3681,295071,67455,23413,26104,11049,11431,12057,33427,9519,29347,71269
2011,R05000,èHìcåß,1075000,505000,570000,1072000,504000,568000,121000,62000,59000,634000,316000,318000,319000,127000,193000,6658,3400,3258,1.35,14642,7519,7123,13169,7404,5765,15859,8615,7244,4058,1555,11.8,29.5,-3.7,177,1834,5193,944794,632,17065,17100,33700,94,767,8120,246,3829,51129,130,2408,28739,9782,9607,59,2427,29264,9441,4245,5,6,94,976,1195,8393,608,51,1796,293,25,5,1789,171,61547,244289,110619,20435,21442,15101,2733640,22150,3555,2585,698,249,409708,341898,25506,39076,390521.0,976,16.4,59,821,449,241,21976,4,22579,3456,288574,65869,17479,25339,11131,10265,12353,38327,11650,26685,69477
2010,R05000,èHìcåß,1085997,509926,576071,1078608,507085,571523,124061,63335,60726,639633,318068,321565,320450,127284,193166,6688,3450,3238,1.31,14288,7487,6801,12735,7281,5454,16463,9014,7449,4281,1795,12.3,31.2,-2.7,190,1890.5,5130,873941,653,17284,18000,36400,95,808,8361,253,3880,52503,132,2435,29411,10021,9849,63,2498,30048,9803,4364,5,6,100,960,1254,8314,591,57,1789,313,26,5,1795,170,67879,270014,95192,19413,20279,15937,3132050,63570,3981,2505,1126,320,440302,339912,33707,65337,396691.0,984,15.7,61,816,463,239,21311,204,22332,3381,276281,66638,7615,24867,9324,11571,11241,38410,8685,30194,67735
2009,R05000,èHìcåß,1097000,515000,581000,1093000,514000,579000,123000,63000,60000,656000,326000,330000,317000,125000,191000,7013,3594,3419,1.29,13866,7319,6547,13670,7946,5724,18219,10070,8149,4364,1708,12.0,27.8,-1.5,172,1729,4812,824390,661,17156,19200,39600,97,806,8713,258,3936,54090,134,2458,30610,10866,10631,63,2515,30213,9887,4535,5,6,98,952,1287,8226,624,56,1848,357,27,5,1752,168,73435,318260,78130,18494,19373,14136,2896490,45060,3857,2345,1157,306,417489,326985,31478,54849,399888.0,983,17.2,62,824,461,242,21631,261,22313,3322,280723,65816,13482,23251,8842,10246,12200,45784,12138,26562,62401
2020,R06000,éRå`åß,1068027,516438,551589,1056617,511742,544875,120086,61591,58495,578819,293692,285127,359554,155388,204166,6217,3224,2993,1.37,15348,7381,7967,11944,6851,5093,15171,8252,6919,3530,1362,13.0,32.7,-1.3,127,1284.5,6014,995407,790,20024,19700,40700,69,746,5840,244,3921,50885,97,2311,27473,9068,8887,61,2462,28281,9381,4355,3,6,84,1043,1143,11723,590,110,2590,495,22,5,1981,73,35660,144654,162062,11082,11405,4584,2741910,65990,4910,2862,1273,767,499177,360218,78179,59605,351454.0,901,13.3,53,910,476,293,27124,0,24954,3467,293536,77254,16066,29590,12130,8525,12431,47277,8545,22462,59256
2019,R06000,éRå`åß,1080000,522000,558000,1073000,519000,553000,123000,63000,60000,594000,302000,293000,360000,155000,205000,6401,3284,3117,1.40,15719,7602,8117,12196,7030,5166,16739,8942,7797,4014,1433,12.8,32.0,-2.9,131,1261.5,6324,1004369,807,20253,19600,40800,72,761,6489,249,3957,52034,99,2332,27938,9577,9445,61,2507,29251,9791,4515,3,6,86,1062,1161,11767,537,74,2691,488,22,5,1964,119,39466,141315,203011,14447,14933,19616,4351550,184760,5697,2804,1894,974,552052,357444,101936,90092,364842.0,922,14.4,54,919,483,288,26343,45,25425,4067,306269,77343,16543,30221,11306,9940,12455,53295,12377,25959,56830
2018,R06000,éRå`åß,1092000,527000,565000,1085000,525000,561000,127000,65000,62000,605000,307000,299000,358000,154000,204000,6973,3579,3394,1.48,15320,7490,7830,12455,7087,5368,16337,8622,7715,4039,1487,12.6,32.8,-4.7,137,1124,6821,1155256,816,20135,19500,40400,74,733,6782,252,4015,53308,101,2338,28417,9766,9633,61,2536,30160,9849,4389,3,6,87,1069,1135,11609,557,93,2537,519,23,5,2057,127,40442,140984,219206,15794,16202,19066,4166800,128020,6207,3211,2114,868,610989,418601,92536,98036,365370.0,915,14.3,54,919,484,286,25864,46,24974,3343,305472,73583,14841,29005,10129,10454,14541,48045,11047,24901,68926
2017,R06000,éRå`åß,1103000,531000,571000,1097000,530000,567000,130000,66000,63000,617000,312000,305000,355000,152000,203000,7259,3729,3530,1.45,15331,7438,7893,12535,7221,5314,16399,8689,7710,4311,1454,11.9,30.7,-2.5,149,1341.5,6436,1117811,834,19955,19400,40500,75,734,7249,258,4049,54043,101,2387,29572,10211,10084,62,2564,30648,9943,4499,3,6,86,1074,1183,11533,592,94,2567,491,23,5,2043,140,42401,145294,208872,16592,17046,17804,4165860,98040,5968,3005,2152,762,573463,389380,81734,98801,371222.0,920,14.7,55,926,485,267,24374,67,23918,3279,308816,77619,16797,29177,9930,10424,12249,51414,9057,25719,66429
